id,paper_set,section,type,language,question_en,question_ar,option_a_en,option_b_en,option_c_en,option_d_en,correct_answer,marks,stream
1,A,1,mcq,en,General Knowledge Question 1: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
2,A,1,mcq,en,General Knowledge Question 2: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
3,A,1,mcq,en,General Knowledge Question 3: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
4,A,1,mcq,en,General Knowledge Question 4: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
5,A,1,mcq,en,General Knowledge Question 5: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
6,A,1,mcq,en,General Knowledge Question 6: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
7,A,1,mcq,en,General Knowledge Question 7: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
8,A,1,mcq,en,General Knowledge Question 8: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
9,A,1,mcq,en,General Knowledge Question 9: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
10,A,1,mcq,en,General Knowledge Question 10: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
11,A,1,mcq,en,General Knowledge Question 11: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
12,A,1,mcq,en,General Knowledge Question 12: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
13,A,1,mcq,en,General Knowledge Question 13: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
14,A,1,mcq,en,General Knowledge Question 14: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
15,A,1,mcq,en,General Knowledge Question 15: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
