paper_set,section,type,language,question_en,question_ar,option_a_en,option_b_en,option_c_en,option_d_en,correct_answer,marks,stream
B,1,mcq,en,General Knowledge Question 1: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
B,1,mcq,en,General Knowledge Question 2: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
B,1,mcq,en,General Knowledge Question 3: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
B,1,mcq,en,General Knowledge Question 4: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
B,1,mcq,en,General Knowledge Question 5: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
B,1,mcq,en,General Knowledge Question 6: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
B,1,mcq,en,General Knowledge Question 7: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
B,1,mcq,en,General Knowledge Question 8: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
B,1,mcq,en,General Knowledge Question 9: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
B,1,mcq,en,General Knowledge Question 10: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
B,1,mcq,en,General Knowledge Question 11: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
B,1,mcq,en,General Knowledge Question 12: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
B,1,mcq,en,General Knowledge Question 13: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
B,1,mcq,en,General Knowledge Question 14: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
B,1,mcq,en,General Knowledge Question 15: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
B,1,mcq,en,General Knowledge Question 16: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
B,1,mcq,en,General Knowledge Question 17: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
B,1,mcq,en,General Knowledge Question 18: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
B,1,mcq,en,General Knowledge Question 19: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
B,1,mcq,en,General Knowledge Question 20: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
B,2,fill_blank,en,Complete the sentence 1: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
B,2,fill_blank,en,Complete the sentence 2: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
B,2,fill_blank,en,Complete the sentence 3: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
B,2,fill_blank,en,Complete the sentence 4: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
B,2,fill_blank,en,Complete the sentence 5: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
B,2,fill_blank,en,Complete the sentence 6: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
B,2,fill_blank,en,Complete the sentence 7: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
B,2,fill_blank,en,Complete the sentence 8: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
B,2,fill_blank,en,Complete the sentence 9: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
B,2,fill_blank,en,Complete the sentence 10: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
B,2,fill_blank,en,Complete the sentence 11: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
B,2,fill_blank,en,Complete the sentence 12: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
B,2,fill_blank,en,Complete the sentence 13: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
B,2,fill_blank,en,Complete the sentence 14: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
B,2,fill_blank,en,Complete the sentence 15: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
B,2,fill_blank,en,Complete the sentence 16: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
B,2,fill_blank,en,Complete the sentence 17: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
B,2,fill_blank,en,Complete the sentence 18: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
B,2,fill_blank,en,Complete the sentence 19: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
B,2,fill_blank,en,Complete the sentence 20: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
B,3,mcq,both,Islamic History Q1: In which year did the Hijra occur?,السؤال الثقافي 1: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
B,3,mcq,both,Islamic History Q2: In which year did the Hijra occur?,السؤال الثقافي 2: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
B,3,mcq,both,Islamic History Q3: In which year did the Hijra occur?,السؤال الثقافي 3: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
B,3,mcq,both,Islamic History Q4: In which year did the Hijra occur?,السؤال الثقافي 4: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
B,3,mcq,both,Islamic History Q5: In which year did the Hijra occur?,السؤال الثقافي 5: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
B,3,mcq,both,Islamic History Q6: In which year did the Hijra occur?,السؤال الثقافي 6: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
B,3,mcq,both,Islamic History Q7: In which year did the Hijra occur?,السؤال الثقافي 7: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
